#,eco_name,repo_name,rn,score
1,Aptos,aptos-labs/developer-docs,1,1.4
2,Aptos,aptos-labs/aptos-ts-sdk,1,1.4
3,Aptos,aptos-foundation/AIPs,1,1.4
4,Aptos,aptos-labs/explorer,1,1.4
5,Aptos,aptos-labs/aptos-wallet-adapter,1,1.4
6,Aptos,aptos-labs/aptos-indexer-processors,1,1.4
7,Aptos,aptos-labs/aptos-core,1,1.4
8,Aptos,aptos-foundation/mainnet-proposals,8,1.3667
9,Aptos,aptos-labs/aptos-indexer-processor-sdk,9,1.3524
10,Aptos,aptos-labs/aptos-go-sdk,10,1.3025
11,Base,base/node,1,1.352
12,Base,scaffold-eth/se-2-challenges,2,1.3368
13,Base,coinbase/coinbase-sdk-nodejs,3,1.2668
14,Base,coinbase/onchainkit,3,1.2668
15,Base,coinbase/agentkit,3,1.2668
16,Base,coinbase/coinbase-wallet-sdk,3,1.2668
17,Base,delvtech/hyperdrive-frontend,7,1.2548
18,Base,coinbase/onchain-app-template,8,1.2382
19,Base,base/contract-deployments,9,1.2233
20,Base,coinbase/smart-wallet-docs,10,1.1575
21,Bitcoin,bitcoindevkit/bdk,1,1.4
22,Bitcoin,mempool/mempool,1,1.4
23,Bitcoin,RoboSats/robosats,1,1.4
24,Bitcoin,bitcoin/bips,1,1.4
25,Bitcoin,vinteumorg/Floresta,1,1.4
26,Bitcoin,bitcoin/bitcoin,1,1.4
27,Bitcoin,btcsuite/btcd,1,1.4
28,Bitcoin,rust-bitcoin/rust-bitcoin,1,1.4
29,Bitcoin,bitcoinops/bitcoinops.github.io,1,1.4
30,Bitcoin,rust-bitcoin/rust-secp256k1,1,1.4
31,Bitcoin,payjoin/rust-payjoin,1,1.4
32,Chainlink,smartcontractkit/chainlink-ccip,1,1.3512
33,Chainlink,smartcontractkit/chainlink-common,2,1.2929
34,Chainlink,smartcontractkit/documentation,3,1.2668
35,Chainlink,smartcontractkit/chain-selectors,4,1.2583
36,Chainlink,smartcontractkit/chainlink-evm,5,1.244
37,Chainlink,smartcontractkit/chainlink-solana,6,1.2323
38,Chainlink,smartcontractkit/.github,7,1.2321
39,Chainlink,smartcontractkit/chainlink-testing-framework,8,1.172
40,Chainlink,smartcontractkit/chainlink,9,1.1462
41,Chainlink,smartcontractkit/chainlink-starknet,10,1.0673
42,Ethereum,ethereum/trin,1,1.4
43,Ethereum,ethereum/execution-specs,1,1.4
44,Ethereum,a16z/helios,1,1.4
45,Ethereum,ethpandaops/optimism-package,1,1.4
46,Ethereum,ethereum/execution-spec-tests,1,1.4
47,Ethereum,ethpandaops/ethereum-package,1,1.4
48,Ethereum,ethereum/hive,1,1.4
49,Ethereum,ethereum/remix-project,1,1.4
50,Ethereum,eth-educators/eth-docker,1,1.4
51,Ethereum,ethereum/c-kzg-4844,1,1.4
52,Ethereum,ethereum/pm,1,1.4
53,Hyperlane,hyperlane-xyz/hyperlane-warp-ui-template,1,1.4
54,Hyperlane,hyperlane-xyz/hyperlane-registry,1,1.4
55,Hyperlane,hyperlane-xyz/v3-docs,1,1.4
56,Hyperlane,hyperlane-xyz/hyperlane-explorer,1,1.4
57,Hyperlane,hyperlane-xyz/hyperlane-monorepo,5,1.1462
58,Hyperlane,astraly-labs/hyperlane_starknet,6,1.0358
59,Hyperlane,superbridgeapp/superbridge-app,7,0.8933
60,Hyperlane,gnosis/hashi,8,0.8315
61,Hyperlane,hyperlane-xyz/ethers-rs,9,0.7465
62,Hyperlane,many-things/cw-hyperlane,10,0.6643
63,Mantle,mantlenetworkio/mantle-v2,1,0.7331
64,Mantle,mantlenetworkio/op-geth,2,0.7261
65,Mantle,metrom-xyz/monorepo,3,0.6442
66,Mantle,mantlenetworkio/mantle,4,0.6411
67,Mantle,mantlenetworkio/networks,5,0.6212
68,Mantle,windranger-io/mantle-xyz,6,0.4242
69,Mantle,w3hc/gov,7,0.187
70,Mantle,mantlenetworkio/mantle-token-contracts,8,0.1375
71,Mantle,mantlenetworkio/mantle-tutorial,9,0.0757
72,Mantle,gitmax-agency/agency-portfolio,10,0.0705
73,NEAR,near/near-sdk-rs,1,1.4
74,NEAR,near/nearcore,1,1.4
75,NEAR,nearai/nearai,1,1.4
76,NEAR,near/wallet-selector,1,1.4
77,NEAR,near/docs,5,1.3905
78,NEAR,near/near-api-js,6,1.364
79,NEAR,near/near-cli-rs,7,1.3158
80,NEAR,near/NEPs,8,1.2842
81,NEAR,near/mpc,9,1.2714
82,NEAR,near/borsh-rs,10,1.2693
83,Nexus,Nexusoft/LLL-TAO,1,0.3436
84,Nexus,Nexusoft/NexusInterface,2,0.1813
85,Nexus,Nexusoft/NexusMiner,3,0.1132
86,Nexus,Nexusoft/nexus-mobile,4,0.0858
87,Nexus,Nexusoft/nexus-invoice-module,5,0.0705
88,Nexus,Nexusoft/react_redux_module_template,6,0.0214
89,Nexus,Nexusoft/Mining-Pool,6,0.0214
90,Nexus,Nexusoft/minimal_module_template,8,0.0083
91,Nexus,Nexusoft/nw-modules-documentation,8,0.0083
92,Nexus,Nexusoft/PrimeSoloMiner,10,0.0048
93,Nexus,Nexusoft/nexus-hash-fpga-verilog,10,0.0048
94,Nexus,Nexusoft/bitcoin,10,0.0048
95,Nexus,Nexusoft/LX-OS,10,0.0048
96,OpenBuild,openbuildxyz/mina-zkapp-bootcamp,1,1.316
97,OpenBuild,openbuildxyz/Monad-101-Bootcamp,2,1.292
98,OpenBuild,openbuildxyz/Web3-Frontend-Bootcamp,3,1.0027
99,OpenBuild,openbuildxyz/ETH-Shenzhen-2024,4,0.9575
100,OpenBuild,openbuildxyz/openbuild-frontend,5,0.8453
101,OpenBuild,openbuildxyz/Startnet-AI-Bootcamp,6,0.7596
102,OpenBuild,openbuildxyz/ai-web3-growth-journey,7,0.6048
103,OpenBuild,openbuildxyz/eco,8,0.5952
104,OpenBuild,openbuildxyz/Starknet-Defi-Bootcamp,9,0.1875
105,OpenBuild,openbuildxyz/ton_bootcamp,10,0.0948
106,Solana,solana-foundation/solana-improvement-documents,1,1.4
107,Solana,SuperteamDAO/earn,1,1.4
108,Solana,solana-foundation/anchor,1,1.4
109,Solana,firedancer-io/firedancer,1,1.4
110,Solana,solana-foundation/developer-content,1,1.4
111,Solana,solana-foundation/explorer,1,1.4
112,Solana,solana-program/token-2022,1,1.4
113,Solana,solana-foundation/solana-web3.js,1,1.4
114,Solana,solana-foundation/solana-com,1,1.4
115,Solana,Syndica/sig,1,1.4
116,Starknet,KaizeNodeLabs/starkiro,1,1.4
117,Starknet,undefinedorgcr/gostarkme-backend,1,1.4
118,Starknet,cairo-book/cairo-book,1,1.4
119,Starknet,nutty-raccoon/paynet,1,1.4
120,Starknet,software-mansion/cairo-lint,1,1.4
121,Starknet,software-mansion/scarb,1,1.4
122,Starknet,djeck1432/spotnet,1,1.4
123,Starknet,Scaffold-Stark/scaffold-stark-2,1,1.4
124,Starknet,AFK-AlignedFamKernel/afk_monorepo,1,1.4
125,Starknet,eqlabs/pathfinder,1,1.4
126,Starknet,KasarLabs/snak,1,1.4
127,Starknet,sivicstudios/starkludo,1,1.4
128,Sui,MystenLabs/ts-sdks,1,1.4
129,Sui,MystenLabs/walrus,1,1.4
130,Sui,MystenLabs/seal,1,1.4
131,Sui,SynoCommunity/spksrc,1,1.4
132,Sui,MystenLabs/move-book,1,1.4
133,Sui,MystenLabs/fastcrypto,6,1.3158
134,Sui,MystenLabs/deepbookv3,7,1.2947
135,Sui,MystenLabs/suins-contracts,8,1.2737
136,Sui,naviprotocol/navi-sdk,9,1.2427
137,Sui,MystenLabs/sui-rust-sdk,10,1.1537
