#,eco_name,repo_name,rn,score
1,Aptos,aptos-labs/aptos-core,1,1.0182238923134728
2,Aptos,aptos-labs/developer-docs,2,0.8348559163572777
3,Aptos,aptos-labs/aptos-ts-sdk,3,0.6654634061828616
4,Aptos,aptos-labs/aptos-indexer-processors,4,0.6628145085245617
5,Aptos,aptos-foundation/AIPs,5,0.6253829844474903
6,Aptos,aptos-labs/aptos-wallet-adapter,6,0.6093301864208058
7,Aptos,aptos-labs/explorer,7,0.5817121104259055
8,Aptos,aptos-foundation/mainnet-proposals,8,0.5571567317297078
9,Aptos,aptos-labs/aptos-indexer-processor-sdk,9,0.5150474814616558
10,Aptos,ALCOVE-LAB/intensive-colearning-aptos,10,0.49822507145258293
11,Base,coinbase/onchainkit,1,0.7939838414056829
12,Base,coinbase/agentkit,2,0.7547633880580631
13,Base,base/node,3,0.6391083490008681
14,Base,coinbase/coinbase-wallet-sdk,4,0.606938037666749
15,Base,coinbase/coinbase-sdk-nodejs,5,0.5835711752784749
16,Base,scaffold-eth/se-2-challenges,6,0.5753057607206384
17,Base,coinbase/x402,7,0.5694107362928802
18,Base,delvtech/hyperdrive-frontend,8,0.5096086611424011
19,Base,balancer/backend,9,0.46056615192995376
20,Base,coinbase/smart-wallet-docs,10,0.4590368941849984
21,Bitcoin,bitcoin/bitcoin,1,1.0610715610968828
22,Bitcoin,rust-bitcoin/rust-bitcoin,2,0.8907301133738762
23,Bitcoin,bitcoin/bips,3,0.7762233133400331
24,Bitcoin,bitcoindevkit/bdk,4,0.7472118207271876
25,Bitcoin,mempool/mempool,5,0.6833814931019812
26,Bitcoin,bitcoinops/bitcoinops.github.io,6,0.6727050791403771
27,Bitcoin,btcsuite/btcd,7,0.6718557838035917
28,Bitcoin,vinteumorg/Floresta,8,0.6339418957914735
29,Bitcoin,rust-bitcoin/rust-secp256k1,9,0.6019419602350046
30,Bitcoin,RoboSats/robosats,10,0.5945494804997518
31,Chainlink,smartcontractkit/chainlink,1,0.8821676838105454
32,Chainlink,smartcontractkit/chainlink-common,2,0.7866940014604928
33,Chainlink,smartcontractkit/chainlink-ccip,3,0.7764283520013582
34,Chainlink,smartcontractkit/documentation,4,0.6470165735765362
35,Chainlink,smartcontractkit/.github,5,0.6440430852447104
36,Chainlink,smartcontractkit/chainlink-solana,6,0.6362649765530546
37,Chainlink,smartcontractkit/chainlink-testing-framework,7,0.5957515661449525
38,Chainlink,smartcontractkit/ccip,8,0.5842005495441032
39,Chainlink,smartcontractkit/chainlink-evm,9,0.5692457099525164
40,Chainlink,smartcontractkit/chain-selectors,10,0.5405468765844474
41,Ethereum,ethereum/EIPs,1,0.9419869722446317
42,Ethereum,ethereum/remix-project,2,0.8632647184167748
43,Ethereum,ethereum/execution-spec-tests,3,0.8039771976089197
44,Ethereum,ethereum/solidity,4,0.776397260155624
45,Ethereum,ethereum/ERCs,5,0.7586500800283582
46,Ethereum,ethpandaops/ethereum-package,6,0.7359494644594866
47,Ethereum,ethereum/hive,7,0.7156256483877527
48,Ethereum,ethpandaops/optimism-package,8,0.7057439317740573
49,Ethereum,ethereum/pm,9,0.7056687437224011
50,Ethereum,a16z/helios,10,0.6679203797799723
51,Hyperlane,hyperlane-xyz/hyperlane-registry,1,0.8607006229193871
52,Hyperlane,hyperlane-xyz/hyperlane-monorepo,2,0.7468123212806591
53,Hyperlane,hyperlane-xyz/hyperlane-warp-ui-template,3,0.718419654236071
54,Hyperlane,hyperlane-xyz/v3-docs,4,0.7163436229410581
55,Hyperlane,hyperlane-xyz/hyperlane-explorer,5,0.5443520224808627
56,Hyperlane,superbridgeapp/superbridge-app,6,0.39028876287338693
57,Hyperlane,astraly-labs/hyperlane_starknet,7,0.3735015911902653
58,Hyperlane,hyperlane-xyz/ethers-rs,8,0.301245340503734
59,Hyperlane,gnosis/hashi,9,0.3011101076143122
60,Hyperlane,hyperlane-xyz/hyperlane-deploy-app,10,0.2922070147707716
61,Mantle,mantlenetworkio/op-geth,1,0.3038489188826606
62,Mantle,metrom-xyz/monorepo,2,0.29988795857351225
63,Mantle,mantlenetworkio/mantle-v2,3,0.28215610674564484
64,Mantle,mantlenetworkio/networks,4,0.2505212822966887
65,Mantle,mantlenetworkio/mantle,5,0.23414789679922055
66,Mantle,windranger-io/mantle-xyz,6,0.13830681092462446
67,Mantle,w3hc/gov,7,0.08477453015748228
68,Mantle,mantlenetworkio/mantle-token-contracts,8,0.08235866103539805
69,Mantle,mantlenetworkio/mantle-tutorial,9,0.05289792064956477
70,Mantle,gitmax-agency/agency-portfolio,10,0.0442732540501989
71,NEAR,near/nearcore,1,0.911514208678228
72,NEAR,near/docs,2,0.7282004719660644
73,NEAR,nearai/nearai,3,0.6950194478219304
74,NEAR,OneKeyHQ/app-monorepo,4,0.6557718143989497
75,NEAR,near/near-sdk-rs,5,0.6255660904861791
76,NEAR,near/wallet-selector,6,0.5605280020572015
77,NEAR,Nearblocks/nearblocks,7,0.5431052416354792
78,NEAR,near/NEPs,8,0.5430831033131583
79,NEAR,RobinNagpal/dodao-ui,9,0.5256920958867748
80,NEAR,near/near-cli-rs,10,0.5231783272902127
81,Nexus,Nexusoft/LLL-TAO,1,0.13866041942005475
82,Nexus,Nexusoft/NexusInterface,2,0.09848746768726739
83,Nexus,Nexusoft/NexusMiner,3,0.07693128416130555
84,Nexus,Nexusoft/nexus-mobile,4,0.05911860358859263
85,Nexus,Nexusoft/nexus-invoice-module,5,0.0442732540501989
86,Nexus,Nexusoft/Mining-Pool,6,0.018862740189508516
87,Nexus,Nexusoft/react_redux_module_template,6,0.018862740189508516
88,Nexus,Nexusoft/nw-modules-documentation,8,0.007991539124938803
89,Nexus,Nexusoft/minimal_module_template,8,0.007991539124938803
90,Nexus,Nexusoft/LX-OS,10,0.006196450353434552
91,Nexus,Nexusoft/nexus-hash-fpga-verilog,10,0.006196450353434552
92,Nexus,Nexusoft/bitcoin,10,0.006196450353434552
93,Nexus,Nexusoft/PrimeSoloMiner,10,0.006196450353434552
94,OpenBuild,openbuildxyz/mina-zkapp-bootcamp,1,0.6603526301348541
95,OpenBuild,openbuildxyz/Monad-101-Bootcamp,2,0.5883421246623632
96,OpenBuild,openbuildxyz/Web3-Frontend-Bootcamp,3,0.5274035613634169
97,OpenBuild,openbuildxyz/ETH-Shenzhen-2024,4,0.4456027449598048
98,OpenBuild,openbuildxyz/Startnet-AI-Bootcamp,5,0.38675042898616463
99,OpenBuild,openbuildxyz/openbuild-frontend,6,0.37516371081864625
100,OpenBuild,openbuildxyz/eco,7,0.2634029474862744
101,OpenBuild,openbuildxyz/ai-web3-growth-journey,8,0.24242220328577352
102,OpenBuild,openbuildxyz/Starknet-Defi-Bootcamp,9,0.1006504178632532
103,OpenBuild,openbuildxyz/build_web3_together,10,0.03924718002131643
104,Solana,firedancer-io/firedancer,1,0.9032716258444995
105,Solana,solana-foundation/developer-content,2,0.8196814385271418
106,Solana,solana-foundation/anchor,3,0.7995595712589104
107,Solana,solana-foundation/solana-com,4,0.7848457392888526
108,Solana,solana-foundation/solana-web3.js,5,0.6925084478120923
109,Solana,solana-foundation/explorer,6,0.6594942477568153
110,Solana,solana-foundation/solana-improvement-documents,7,0.6577785002237632
111,Solana,lfglabs-dev/app.starknet.id,8,0.6557437358594832
112,Solana,solana-program/token-2022,9,0.6522392282872604
113,Solana,Syndica/sig,10,0.6246601527541926
114,Starknet,djeck1432/spotnet,1,0.8675965613057925
115,Starknet,Scaffold-Stark/scaffold-stark-2,2,0.7990963422639026
116,Starknet,CarmineOptions/derisk-research,3,0.7717646190613957
117,Starknet,NoshonNetworks/landver,4,0.767341935472073
118,Starknet,undefinedorgcr/gostarkme-backend,5,0.7656296005068886
119,Starknet,AFK-AlignedFamKernel/afk_monorepo,6,0.7429339939071384
120,Starknet,foundry-rs/starknet-foundry,7,0.7388453774432774
121,Starknet,KaizeNodeLabs/starkiro,8,0.7385745681754567
122,Starknet,Shonen-Labs/StarkFinder,9,0.7360320845993091
123,Starknet,cairo-book/cairo-book,10,0.7180415556620385
124,Sui,MystenLabs/sui,1,0.88730473025789
125,Sui,MystenLabs/ts-sdks,2,0.6665963502602861
126,Sui,MystenLabs/walrus,3,0.6650919251270396
127,Sui,OneKeyHQ/app-monorepo,4,0.6557718143989497
128,Sui,SynoCommunity/spksrc,5,0.6190540101732844
129,Sui,MystenLabs/seal,6,0.6182679421174453
130,Sui,MystenLabs/suins-contracts,7,0.5389468771663084
131,Sui,MystenLabs/move-book,8,0.5388117511674192
132,Sui,MystenLabs/deepbookv3,9,0.5369730038698148
133,Sui,dwallet-labs/dwallet-network,10,0.504989167658748
