#,eco_name,repo_name,rn,score
1,Aptos,aptos-labs/aptos-core,1,8.69243361314235
2,Aptos,aptos-labs/developer-docs,2,7.060138736444409
3,Aptos,aptos-labs/aptos-ts-sdk,3,5.405613183314796
4,Aptos,aptos-labs/aptos-indexer-processors,4,5.353637099819977
5,Aptos,aptos-foundation/AIPs,5,5.065545409551496
6,Aptos,aptos-labs/aptos-wallet-adapter,6,4.881675681262656
7,Aptos,aptos-labs/explorer,7,4.552619549423577
8,Aptos,aptos-foundation/mainnet-proposals,8,4.447064692091905
9,Aptos,ALCOVE-LAB/intensive-colearning-aptos,9,4.0277558340153625
10,Aptos,aptos-labs/aptos-indexer-processor-sdk,10,3.954304182664536
11,Base,coinbase/onchainkit,1,6.656790968469699
12,Base,coinbase/agentkit,2,6.433247940513438
13,Base,base/node,3,5.3173860620752205
14,Base,coinbase/coinbase-wallet-sdk,4,4.948198514420453
15,Base,coinbase/coinbase-sdk-nodejs,5,4.761701553004914
16,Base,coinbase/x402,6,4.746427699559442
17,Base,scaffold-eth/se-2-challenges,7,4.594658514529696
18,Base,delvtech/hyperdrive-frontend,8,3.7733043406336115
19,Base,coinbase/smart-wallet-docs,9,3.611766500390722
20,Base,base/contract-deployments,10,3.5896258622160895
21,Bitcoin,bitcoin/bitcoin,1,9.20938816509604
22,Bitcoin,rust-bitcoin/rust-bitcoin,2,7.500147729546222
23,Bitcoin,bitcoin/bips,3,6.6349388772093265
24,Bitcoin,bitcoindevkit/bdk,4,6.211325783530635
25,Bitcoin,btcsuite/btcd,5,5.620036869786778
26,Bitcoin,mempool/mempool,6,5.515943871666425
27,Bitcoin,bitcoinops/bitcoinops.github.io,7,5.375553667608855
28,Bitcoin,vinteumorg/Floresta,8,5.0907952858456875
29,Bitcoin,rust-bitcoin/rust-secp256k1,9,4.897276303501163
30,Bitcoin,RoboSats/robosats,10,4.715440454849644
31,Chainlink,smartcontractkit/chainlink,1,7.559257733274153
32,Chainlink,smartcontractkit/chainlink-common,2,6.508247157192391
33,Chainlink,smartcontractkit/chainlink-ccip,3,6.3603479691256
34,Chainlink,smartcontractkit/documentation,4,5.295259911086785
35,Chainlink,smartcontractkit/chainlink-solana,5,5.162745753728459
36,Chainlink,smartcontractkit/.github,6,5.148721100797958
37,Chainlink,smartcontractkit/ccip,7,4.854488834892694
